MetaTest/Average/Iteration,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/Average/AverageDiscountedReturn,TotalEnvSteps,MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/Iteration,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/AverageDiscountedReturn
104,817.4210438066564,709.1714435906385,0.98,100,817.4210438066563,917413,88.98376085693174,817.4210438066564,709.1714435906385,104,3064.188864535704,3064.188864535704,0.98,88.98376085693174,100,817.4210438066563
105,943.9245575200738,809.0964180114867,0.9425287356321839,87,943.9245575200737,926671,2.5461902232963687,943.9245575200738,809.0964180114867,105,3232.9781666924214,3232.9781666924214,0.9425287356321839,2.5461902232963687,87,943.9245575200737
106,690.7324627762509,712.0017695311441,1.0,116,690.7324627762508,935718,6.978588374862395,690.7324627762509,712.0017695311441,106,3141.8212622582955,3141.8212622582955,1.0,6.978588374862395,116,690.7324627762508
107,587.6812783706706,531.0253574313153,1.0,121,587.6812783706706,945743,-4.230446965139938,587.6812783706706,531.0253574313153,107,2768.0373785903244,2768.0373785903244,1.0,-4.230446965139938,121,587.6812783706706
108,442.4043669079739,492.5009405723599,1.0,150,442.4043669079739,955156,-7.681453249781319,442.4043669079739,492.5009405723599,108,2583.8236336870445,2583.8236336870445,1.0,-7.681453249781319,150,442.4043669079739
109,783.9267976757789,718.3745743175311,0.9805825242718447,103,783.926797675779,964297,-3.1027310433125406,783.9267976757789,718.3745743175311,109,3001.0935512113265,3001.0935512113265,0.9805825242718447,-3.1027310433125406,103,783.926797675779
110,510.8857513239607,477.78145868866335,1.0,139,510.8857513239607,972887,-5.907033701434086,510.8857513239607,477.78145868866335,110,2382.2831999922414,2382.2831999922414,1.0,-5.907033701434086,139,510.8857513239607
111,563.5958269504214,688.1277192835496,0.9848484848484849,132,563.5958269504214,982250,-6.756259199736084,563.5958269504214,688.1277192835496,111,3321.3516969375573,3321.3516969375573,0.9848484848484849,-6.756259199736084,132,563.5958269504214
112,387.44618094815075,439.2989701373671,1.0,167,387.4461809481507,990859,-5.89251870496715,387.44618094815075,439.2989701373671,112,1974.1860339412112,1974.1860339412112,1.0,-5.89251870496715,167,387.4461809481507
113,373.7050628846897,274.7749573902437,1.0,155,373.7050628846897,1000225,3.6631899433319894,373.7050628846897,274.7749573902437,113,1482.0599469405968,1482.0599469405968,1.0,3.6631899433319894,155,373.7050628846897
114,937.6590208404137,805.391288172092,0.978494623655914,93,937.6590208404135,1009322,78.90125788811656,937.6590208404137,805.391288172092,114,3386.9649613226607,3386.9649613226607,0.978494623655914,78.90125788811656,93,937.6590208404135
115,736.2757853313313,709.1816439193053,0.990990990990991,111,736.2757853313313,1018600,14.348590353559338,736.2757853313313,709.1816439193053,115,3800.271844398732,3800.271844398732,0.990990990990991,14.348590353559338,111,736.2757853313313
116,831.9231456608343,850.3326778856729,0.9902912621359223,103,831.9231456608344,1029571,81.59083690922193,831.9231456608343,850.3326778856729,116,3963.5889469534463,3963.5889469534463,0.9902912621359223,81.59083690922193,103,831.9231456608344
117,551.9649988625591,585.946827864013,1.0,137,551.964998862559,1039433,-10.892180594205113,551.9649988625591,585.946827864013,117,2624.14954626528,2624.14954626528,1.0,-10.892180594205113,137,551.964998862559
118,483.62612939004225,541.7536997275814,1.0,144,483.62612939004225,1048641,76.36198314961722,483.62612939004225,541.7536997275814,118,2495.0148167137513,2495.0148167137513,1.0,76.36198314961722,144,483.62612939004225
