MetaTest/Average/MinReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/Average/MaxReturn,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/NumEpisodes,TotalEnvSteps,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/NumEpisodes,MetaTest/__unnamed_task__/MaxReturn,MetaTest/Average/AverageReturn,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/__unnamed_task__/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/__unnamed_task__/AverageReturn
760.2080622966871,1040.067378270086,335.6690905004532,3388.5807291930455,0.989247311827957,93,986385,105,93,3388.5807291930455,1040.0673782700858,0.989247311827957,105,1040.067378270086,335.6690905004532,760.2080622966871,1040.0673782700858
612.9296706924474,1301.0540545058034,706.7623609218584,3396.2520710202607,0.9759036144578314,83,997241,106,83,3396.2520710202607,1301.0540545058034,0.9759036144578314,106,1301.0540545058034,706.7623609218584,612.9296706924474,1301.0540545058034
721.5570237386627,1439.2197691005335,666.2316396204432,3378.8392789265818,0.9444444444444444,72,1006373,107,72,3378.8392789265818,1439.2197691005335,0.9444444444444444,107,1439.2197691005335,666.2316396204432,721.5570237386627,1439.2197691005335
853.2865966638038,1576.8208318753443,779.0311464659853,3328.3287247845483,0.9076923076923077,65,1016282,108,65,3328.3287247845483,1576.8208318753443,0.9076923076923077,108,1576.8208318753443,779.0311464659853,853.2865966638038,1576.8208318753443
735.100583876131,1266.4499206522646,564.8281230234281,3378.2045885599864,0.9761904761904762,84,1026729,109,84,3378.2045885599864,1266.4499206522644,0.9761904761904762,109,1266.4499206522646,564.8281230234281,735.100583876131,1266.4499206522644
529.0497026483101,1116.8492746573165,385.55513261384715,3243.0079425854037,1.0,92,1036648,110,92,3243.0079425854037,1116.8492746573165,1.0,110,1116.8492746573165,385.55513261384715,529.0497026483101,1116.8492746573165
780.0839728398518,1098.8692003482997,248.5135452666911,2242.6545345938266,1.0,89,1046866,111,89,2242.6545345938266,1098.8692003482995,1.0,111,1098.8692003482997,248.5135452666911,780.0839728398518,1098.8692003482995
769.5375257737686,1341.7258456617974,628.1847986242982,3282.524601013068,0.9605263157894737,76,1056429,112,76,3282.524601013068,1341.7258456617974,0.9605263157894737,112,1341.7258456617974,628.1847986242982,769.5375257737686,1341.7258456617974
655.5211922729934,1270.4281739094606,470.78977198383046,3300.7498233505758,1.0,84,1065864,113,84,3300.7498233505758,1270.4281739094602,1.0,113,1270.4281739094606,470.78977198383046,655.5211922729934,1270.4281739094602
621.85920626715,1224.284954010405,475.8692420061695,3114.806022423858,1.0,85,1075647,114,85,3114.806022423858,1224.2849540104048,1.0,114,1224.284954010405,475.8692420061695,621.85920626715,1224.2849540104048
761.3055713336945,1419.371789265138,592.5187652443651,3462.1297544996632,0.961038961038961,77,1087421,115,77,3462.1297544996632,1419.3717892651377,0.961038961038961,115,1419.371789265138,592.5187652443651,761.3055713336945,1419.3717892651377
636.4156361114518,1756.5892835477255,913.60226878548,3342.3026546492383,0.8245614035087719,57,1095943,116,57,3342.3026546492383,1756.5892835477255,0.8245614035087719,116,1756.5892835477255,913.60226878548,636.4156361114518,1756.5892835477255
