MetaTest/__unnamed_task__/NumEpisodes,MetaTest/__unnamed_task__/StdReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/StdReturn,MetaTest/__unnamed_task__/MinReturn,MetaTest/Average/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/__unnamed_task__/AverageReturn,MetaTest/__unnamed_task__/MaxReturn,MetaTest/__unnamed_task__/AverageDiscountedReturn,MetaTest/Average/Iteration,MetaTest/__unnamed_task__/TerminationRate,MetaTest/Average/MinReturn,TotalEnvSteps,MetaTest/Average/TerminationRate,MetaTest/__unnamed_task__/Iteration,MetaTest/Average/AverageDiscountedReturn
125,572.4799513213193,125,572.4799513213193,27.409071344913084,531.1832320998815,2699.2025688537246,531.1832320998815,2699.2025688537246,531.1832320998815,102,1.0,27.409071344913084,984500,1.0,102,531.1832320998815
107,672.9214787034115,107,672.9214787034115,27.90286386184823,664.6336205622669,2985.328703424573,664.6336205622669,2985.328703424573,664.6336205622667,103,0.9719626168224299,27.90286386184823,994843,0.9719626168224299,103,664.6336205622667
120,623.6540376304359,120,623.6540376304359,23.468153439124116,645.9316622895935,2973.464898224654,645.9316622895935,2973.464898224654,645.9316622895936,104,0.9916666666666667,23.468153439124116,1006259,0.9916666666666667,104,645.9316622895936
134,647.5078352159675,134,647.5078352159675,21.89625690510555,545.2367842230857,3333.440531035611,545.2367842230857,3333.440531035611,545.2367842230857,105,0.9925373134328358,21.89625690510555,1016763,0.9925373134328358,105,545.2367842230857
123,849.8348477923722,123,849.8348477923722,-45.44932718636069,631.6926013857819,3448.65713940386,631.6926013857819,3448.65713940386,631.6926013857822,106,0.9349593495934959,-45.44932718636069,1025890,0.9349593495934959,106,631.6926013857822
141,636.9533266372987,141,636.9533266372987,18.05667887956561,509.7134846614143,3161.0961508693567,509.7134846614143,3161.0961508693567,509.7134846614144,107,1.0,18.05667887956561,1036698,1.0,107,509.7134846614144
139,771.0313725415149,139,771.0313725415149,12.776473949398442,574.115922263672,3565.522318205039,574.115922263672,3565.522318205039,574.1159222636721,108,0.9784172661870504,12.776473949398442,1047434,0.9784172661870504,108,574.1159222636721
108,800.0391369427334,108,800.0391369427334,12.628990568760457,821.8457296642044,3364.423694494994,821.8457296642044,3364.423694494994,821.8457296642044,109,0.9629629629629629,12.628990568760457,1057809,0.9629629629629629,109,821.8457296642044
120,856.1567976824657,120,856.1567976824657,5.451297083521422,660.6500338937545,3615.1038055094573,660.6500338937545,3615.1038055094573,660.6500338937545,110,0.9833333333333333,5.451297083521422,1067647,0.9833333333333333,110,660.6500338937545
161,654.9452738221638,161,654.9452738221638,3.0213772706654662,511.4724311995974,3385.7161006332676,511.4724311995974,3385.7161006332676,511.4724311995973,111,0.9937888198757764,3.0213772706654662,1078611,0.9937888198757764,111,511.4724311995973
156,527.2149478590925,156,527.2149478590925,-0.7627314536898723,460.4017994082643,2779.0969437210856,460.4017994082643,2779.0969437210856,460.4017994082643,112,1.0,-0.7627314536898723,1088829,1.0,112,460.4017994082643
126,723.491146822913,126,723.491146822913,12.159309979089063,666.2934581412107,3305.163933361682,666.2934581412107,3305.163933361682,666.2934581412107,113,0.9920634920634921,12.159309979089063,1098947,0.9920634920634921,113,666.2934581412107
103,777.3995521843425,103,777.3995521843425,19.32753381694128,819.8232190839108,3439.634996418688,819.8232190839108,3439.634996418688,819.8232190839108,114,0.970873786407767,19.32753381694128,1110348,0.970873786407767,114,819.8232190839108
